"population","year","sex","prespawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
